00:00:01.042|Info    |PLTAGDIA|192.168.70.250      |Tag diagnostic process start on tag 201306
00:00:01.042|Info    |PLMASTER|192.168.70.250      |Enable connection (Sender = P2LightTagDiagnostic, Exclusive = False, Interruptible = True, AwakeMode = False): Result = True
00:00:01.042|Info    |PLMASTER|192.168.70.250      |CMD: bp201306
00:00:01.464|Info    |PLMASTER|192.168.70.250      |RSP: 000337
00:00:01.667|Info    |PLMASTER|192.168.70.250      |CMD: rs201306
00:00:02.074|Info    |PLMASTER|192.168.70.250      |RSP: 00004E F0AF
00:00:02.089|Info    |PLMASTER|192.168.70.250      |Disable connection (Sender = P2LightTagDiagnostic): Result = True
00:00:02.089|Info    |PLTAGDIA|192.168.70.250      |Tag diagnostic process completed on tag 201306: Ok (Voltage = 3.37, Rssi = -82)
00:00:12.608|Info    |PLWKAREA|172@G               |Job #25 completed successfully in 0.00:00:22.583
00:00:12.608|Info    |PLWKAREA|172@G               |Job #26 begin
00:00:15.734|Info    |PLWKAREA|172@G               |Job #26 completed successfully in 0.00:00:03.125
00:00:15.734|Info    |PLWKAREA|172@G               |Job #27 begin
00:00:16.921|Info    |PLMASTER|192.168.70.250      |CMD: ka
00:00:16.952|Info    |PLMASTER|192.168.70.250      |RSP: 40
00:00:20.234|Info    |PLWKAREA|172@G               |Job #27 completed successfully in 0.00:00:04.500
00:00:20.234|Info    |PLWKAREA|172@G               |Job #28 begin
00:00:24.798|Info    |PLWKAREA|172@G               |Job #28 completed successfully in 0.00:00:04.563
00:00:24.798|Info    |PLWKAREA|172@G               |Job #29 begin
00:00:26.954|Info    |PLMASTER|192.168.70.250      |CMD: ka
00:00:26.985|Info    |PLMASTER|192.168.70.250      |RSP: 40
00:00:33.346|Info    |PLWKAREA|172                 |Restart job #32 (kit #00000710 @1R)
00:00:33.346|Info    |PLWKAREA|172@R               |Job #32 restart
00:00:36.986|Info    |PLMASTER|192.168.70.250      |CMD: ka
00:00:37.018|Info    |PLMASTER|192.168.70.250      |RSP: 40
00:00:37.065|Info    |PLWKAREA|172@R               |Job #32 completed successfully in 0.00:03:28.218
00:00:37.065|Info    |PLWKAREA|172@R               |Job #33 begin
00:00:40.096|Info    |PLWKAREA|172@R               |Job #33 completed successfully in 0.00:00:03.031
00:00:40.096|Info    |PLWKAREA|172@R               |Job #34 begin
00:00:42.159|Info    |PLWKAREA|172@R               |Job #34 completed successfully in 0.00:00:02.062
00:00:42.159|Info    |PLWKAREA|172@R               |Job #35 begin
00:00:47.020|Info    |PLMASTER|192.168.70.250      |CMD: ka
00:00:47.052|Info    |PLMASTER|192.168.70.250      |RSP: 40
00:00:57.054|Info    |PLMASTER|192.168.70.250      |CMD: ka
00:00:57.069|Info    |PLMASTER|192.168.70.250      |RSP: 40
00:00:57.538|Info    |PLWKAREA|172@G               |Job #29 completed successfully in 0.00:00:32.740
00:00:57.538|Info    |PLWKAREA|172@G               |Job #30 begin
00:01:00.132|Info    |PLWKAREA|172@R               |Job #35 completed successfully in 0.00:00:17.973
00:01:00.132|Info    |PLWKAREA|172@R               |Job #36 begin
00:01:02.102|Info    |PLTAGDIA|192.168.70.250      |Tag diagnostic process start on tag 201309
00:01:02.102|Info    |PLMASTER|192.168.70.250      |Enable connection (Sender = P2LightTagDiagnostic, Exclusive = False, Interruptible = True, AwakeMode = False): Result = True
00:01:02.102|Info    |PLMASTER|192.168.70.250      |CMD: bp201309
00:01:02.524|Info    |PLMASTER|192.168.70.250      |RSP: 000338
00:01:02.711|Info    |PLMASTER|192.168.70.250      |CMD: rs201309
00:01:03.117|Info    |PLMASTER|192.168.70.250      |RSP: 0000D0 EEAD
00:01:03.117|Info    |PLMASTER|192.168.70.250      |Disable connection (Sender = P2LightTagDiagnostic): Result = True
00:01:03.149|Info    |PLTAGDIA|192.168.70.250      |Tag diagnostic process completed on tag 201309: Ok (Voltage = 3.38, Rssi = -83)
00:01:16.342|Info    |PLWKAREA|172@R               |Job #36 completed successfully in 0.00:00:16.209
00:01:16.342|Info    |PLWKAREA|172@R               |Job #37 begin
00:01:17.092|Info    |PLMASTER|192.168.70.250      |CMD: ka
00:01:17.107|Info    |PLMASTER|192.168.70.250      |RSP: 40
00:01:27.111|Info    |PLMASTER|192.168.70.250      |CMD: ka
00:01:27.142|Info    |PLMASTER|192.168.70.250      |RSP: 40
00:01:37.144|Info    |PLMASTER|192.168.70.250      |CMD: ka
00:01:37.175|Info    |PLMASTER|192.168.70.250      |RSP: 40
00:01:47.197|Info    |PLMASTER|192.168.70.250      |CMD: ka
00:01:47.212|Info    |PLMASTER|192.168.70.250      |RSP: 40
00:01:57.214|Info    |PLMASTER|192.168.70.250      |CMD: ka
00:01:57.229|Info    |PLMASTER|192.168.70.250      |RSP: 40
00:02:03.154|Info    |PLTAGDIA|192.168.70.250      |Tag diagnostic process start on tag 201310
00:02:03.154|Info    |PLMASTER|192.168.70.250      |Enable connection (Sender = P2LightTagDiagnostic, Exclusive = False, Interruptible = True, AwakeMode = False): Result = True
00:02:03.154|Info    |PLMASTER|192.168.70.250      |CMD: bp201310
00:02:03.576|Info    |PLMASTER|192.168.70.250      |RSP: 000337
00:02:03.764|Info    |PLMASTER|192.168.70.250      |CMD: rs201310
00:02:04.186|Info    |PLMASTER|192.168.70.250      |RSP: 000021 06AE
00:02:04.186|Info    |PLMASTER|192.168.70.250      |Disable connection (Sender = P2LightTagDiagnostic): Result = True
00:02:04.186|Info    |PLTAGDIA|192.168.70.250      |Tag diagnostic process completed on tag 201310: Ok (Voltage = 3.37, Rssi = -71)
00:02:06.983|Info    |PLWKAREA|172@G               |Job #30 completed successfully in 0.00:01:09.445
00:02:06.999|Info    |PLWKAREA|172@G               |Job #31 begin
00:02:12.314|Info    |PLWKAREA|172@G               |Job #31 completed successfully in 0.00:00:05.314
00:02:12.314|Info    |PLWKAREA|172@G               |Job #32 begin
00:02:17.244|Info    |PLMASTER|192.168.70.250      |CMD: ka
00:02:17.275|Info    |PLMASTER|192.168.70.250      |RSP: 40
00:02:18.056|Info    |PLWKAREA|172@G               |Job #32 completed successfully in 0.00:00:05.742
00:02:18.056|Info    |PLWKAREA|172@G               |Job #33 begin
00:02:27.276|Info    |PLMASTER|192.168.70.250      |CMD: ka
00:02:27.292|Info    |PLMASTER|192.168.70.250      |RSP: 40
00:02:37.293|Info    |PLMASTER|192.168.70.250      |CMD: ka
00:02:37.324|Info    |PLMASTER|192.168.70.250      |RSP: 40
00:02:47.329|Info    |PLMASTER|192.168.70.250      |CMD: ka
00:02:47.345|Info    |PLMASTER|192.168.70.250      |RSP: 40
00:02:57.346|Info    |PLMASTER|192.168.70.250      |CMD: ka
00:02:57.362|Info    |PLMASTER|192.168.70.250      |RSP: 40
00:03:04.192|Info    |PLTAGDIA|192.168.70.250      |Tag diagnostic process start on tag 201325
