00:00:06.732|Info    |PLMASTER|192.168.70.253      |CMD: ka
00:00:06.747|Info    |PLMASTER|192.168.70.253      |RSP: 40
00:00:12.608|Info    |PLMASTER|192.168.70.253      |EVT: #201768 800101
00:00:12.608|Info    |PLWKAREA|172@G               |Job #25 completed successfully in 0.00:00:22.583
00:00:12.608|Info    |PLWKAREA|172@G               |Job #26 begin
00:00:12.623|Info    |PLMASTER|192.168.70.253      |CMD: lg2011540101
00:00:13.045|Info    |PLMASTER|192.168.70.253      |RSP: 03
00:00:15.734|Info    |PLMASTER|192.168.70.253      |EVT: #201154 800101
00:00:15.734|Info    |PLWKAREA|172@G               |Job #26 completed successfully in 0.00:00:03.125
00:00:15.734|Info    |PLWKAREA|172@G               |Job #27 begin
00:00:15.749|Info    |PLMASTER|192.168.70.253      |CMD: lg2014240101
00:00:16.171|Info    |PLMASTER|192.168.70.253      |RSP: 03
00:00:20.234|Info    |PLMASTER|192.168.70.253      |EVT: #201424 800101
00:00:20.234|Info    |PLWKAREA|172@G               |Job #27 completed successfully in 0.00:00:04.500
00:00:20.234|Info    |PLWKAREA|172@G               |Job #28 begin
00:00:20.265|Info    |PLMASTER|192.168.70.253      |CMD: lg2108150101
00:00:20.672|Info    |PLMASTER|192.168.70.253      |RSP: 03
00:00:24.782|Info    |PLMASTER|192.168.70.253      |EVT: #210815 800101
00:00:24.798|Info    |PLWKAREA|172@G               |Job #28 completed successfully in 0.00:00:04.563
00:00:24.798|Info    |PLWKAREA|172@G               |Job #29 begin
00:00:24.844|Info    |PLMASTER|192.168.70.253      |CMD: lg2011280101
00:00:25.251|Info    |PLMASTER|192.168.70.253      |RSP: 03
00:00:33.346|Info    |PLWKAREA|172                 |Restart job #32 (kit #00000710 @1R)
00:00:33.346|Info    |PLWKAREA|172@R               |Job #32 restart
00:00:33.361|Info    |PLMASTER|192.168.70.253      |CMD: lr2014450101
00:00:33.783|Info    |PLMASTER|192.168.70.253      |RSP: 03
00:00:37.065|Info    |PLMASTER|192.168.70.253      |EVT: #201445 810101
00:00:37.065|Info    |PLWKAREA|172@R               |Job #32 completed successfully in 0.00:03:28.218
00:00:37.065|Info    |PLWKAREA|172@R               |Job #33 begin
00:00:37.080|Info    |PLMASTER|192.168.70.253      |CMD: lr2012910101
00:00:37.486|Info    |PLMASTER|192.168.70.253      |RSP: 03
00:00:40.096|Info    |PLMASTER|192.168.70.253      |EVT: #201291 810101
00:00:40.096|Info    |PLWKAREA|172@R               |Job #33 completed successfully in 0.00:00:03.031
00:00:40.096|Info    |PLWKAREA|172@R               |Job #34 begin
00:00:40.143|Info    |PLMASTER|192.168.70.253      |CMD: lr2009840101
00:00:40.549|Info    |PLMASTER|192.168.70.253      |RSP: 03
00:00:42.159|Info    |PLMASTER|192.168.70.253      |EVT: #200984 810101
00:00:42.159|Info    |PLWKAREA|172@R               |Job #34 completed successfully in 0.00:00:02.062
00:00:42.159|Info    |PLWKAREA|172@R               |Job #35 begin
00:00:42.174|Info    |PLMASTER|192.168.70.253      |CMD: lr2014820101
00:00:42.596|Info    |PLMASTER|192.168.70.253      |RSP: 03
00:00:52.131|Info    |PLTAGDIA|192.168.70.253      |Tag diagnostic process start on tag 200932
00:00:52.131|Info    |PLMASTER|192.168.70.253      |Enable connection (Sender = P2LightTagDiagnostic, Exclusive = False, Interruptible = True, AwakeMode = False): Result = True
00:00:52.131|Info    |PLMASTER|192.168.70.253      |CMD: bp200932
00:00:52.553|Info    |PLMASTER|192.168.70.253      |RSP: 000327
00:00:52.740|Info    |PLMASTER|192.168.70.253      |CMD: rs200932
00:00:53.146|Info    |PLMASTER|192.168.70.253      |RSP: 0000D3 0BAE
00:00:53.146|Info    |PLMASTER|192.168.70.253      |Disable connection (Sender = P2LightTagDiagnostic): Result = True
00:00:53.162|Info    |PLTAGDIA|192.168.70.253      |Tag diagnostic process completed on tag 200932: Ok (Voltage = 3.27, Rssi = -69)
00:00:57.491|Info    |PLMASTER|192.168.70.253      |EVT: #201128 800101
00:00:57.538|Info    |PLWKAREA|172@G               |Job #29 completed successfully in 0.00:00:32.740
00:00:57.538|Info    |PLWKAREA|172@G               |Job #30 begin
00:00:57.554|Info    |PLMASTER|192.168.70.253      |CMD: lg2012350101
00:00:57.975|Info    |PLMASTER|192.168.70.253      |RSP: 03
00:01:00.132|Info    |PLMASTER|192.168.70.253      |EVT: #201482 810101
00:01:00.132|Info    |PLWKAREA|172@R               |Job #35 completed successfully in 0.00:00:17.973
00:01:00.132|Info    |PLWKAREA|172@R               |Job #36 begin
00:01:00.194|Info    |PLMASTER|192.168.70.253      |CMD: lr2108290101
00:01:00.602|Info    |PLMASTER|192.168.70.253      |RSP: 03
00:01:16.326|Info    |PLMASTER|192.168.70.253      |EVT: #210829 810101
00:01:16.342|Info    |PLWKAREA|172@R               |Job #36 completed successfully in 0.00:00:16.209
00:01:16.342|Info    |PLWKAREA|172@R               |Job #37 begin
00:01:16.357|Info    |PLMASTER|192.168.70.253      |CMD: lr2012090101
00:01:16.763|Info    |PLMASTER|192.168.70.253      |RSP: 03
00:01:26.798|Info    |PLMASTER|192.168.70.253      |CMD: ka
00:01:26.830|Info    |PLMASTER|192.168.70.253      |RSP: 40
00:01:36.832|Info    |PLMASTER|192.168.70.253      |CMD: ka
00:01:36.863|Info    |PLMASTER|192.168.70.253      |RSP: 40
00:01:46.884|Info    |PLMASTER|192.168.70.253      |CMD: ka
00:01:46.900|Info    |PLMASTER|192.168.70.253      |RSP: 40
00:01:53.167|Info    |PLTAGDIA|192.168.70.253      |Tag diagnostic process start on tag 200937
00:01:53.167|Info    |PLMASTER|192.168.70.253      |Enable connection (Sender = P2LightTagDiagnostic, Exclusive = False, Interruptible = True, AwakeMode = False): Result = True
00:01:53.167|Info    |PLMASTER|192.168.70.253      |CMD: bp200937
00:01:53.589|Info    |PLMASTER|192.168.70.253      |RSP: 000336
00:01:53.777|Info    |PLMASTER|192.168.70.253      |CMD: rs200937
00:01:54.183|Info    |PLMASTER|192.168.70.253      |RSP: 000016 1CAE
00:01:54.183|Info    |PLMASTER|192.168.70.253      |Disable connection (Sender = P2LightTagDiagnostic): Result = True
00:01:54.183|Info    |PLTAGDIA|192.168.70.253      |Tag diagnostic process completed on tag 200937: Ok (Voltage = 3.36, Rssi = -60)
00:02:06.983|Info    |PLMASTER|192.168.70.253      |EVT: #201235 800101
00:02:06.983|Info    |PLWKAREA|172@G               |Job #30 completed successfully in 0.00:01:09.445
00:02:06.999|Info    |PLWKAREA|172@G               |Job #31 begin
00:02:07.015|Info    |PLMASTER|192.168.70.253      |CMD: lg2010370101
00:02:07.421|Info    |PLMASTER|192.168.70.253      |RSP: 03
00:02:12.314|Info    |PLMASTER|192.168.70.253      |EVT: #201037 800101
00:02:12.314|Info    |PLWKAREA|172@G               |Job #31 completed successfully in 0.00:00:05.314
00:02:12.314|Info    |PLWKAREA|172@G               |Job #32 begin
00:02:12.330|Info    |PLMASTER|192.168.70.253      |CMD: lg3003920101
00:02:12.798|Info    |PLMASTER|192.168.70.253      |RSP: 03
00:02:18.056|Info    |PLMASTER|192.168.70.253      |EVT: #300392 800101
00:02:18.056|Info    |PLWKAREA|172@G               |Job #32 completed successfully in 0.00:00:05.742
00:02:18.056|Info    |PLWKAREA|172@G               |Job #33 begin
00:02:18.088|Info    |PLMASTER|192.168.70.253      |CMD: lg2107660101
00:02:18.494|Info    |PLMASTER|192.168.70.253      |RSP: 03
00:02:36.918|Info    |PLMASTER|192.168.70.253      |CMD: ka
00:02:36.934|Info    |PLMASTER|192.168.70.253      |RSP: 40
00:02:46.939|Info    |PLMASTER|192.168.70.253      |CMD: ka
00:02:46.970|Info    |PLMASTER|192.168.70.253      |RSP: 40
00:02:54.205|Info    |PLTAGDIA|192.168.70.253      |Tag diagnostic process start on tag 200938
00:02:54.205|Info    |PLMASTER|192.168.70.253      |Enable connection (Sender = P2LightTagDiagnostic, Exclusive = False, Interruptible = True, AwakeMode = False): Result = True
00:02:54.205|Info    |PLMASTER|192.168.70.253      |CMD: bp200938
00:02:54.612|Info    |PLMASTER|192.168.70.253      |RSP: 200293
00:02:54.830|Info    |PLMASTER|192.168.70.253      |CMD: rs200938
00:02:55.237|Info    |PLMASTER|192.168.70.253      |RSP: 2000D1 0FAB
00:02:55.237|Info    |PLMASTER|192.168.70.253      |Disable connection (Sender = P2LightTagDiagnostic): Result = True
00:02:55.252|Info    |PLTAGDIA|192.168.70.253      |Tag diagnostic process completed on tag 200938: BatteryLow (Voltage = 2.93, Rssi = -67)
00:03:06.974|Info    |PLMASTER|192.168.70.253      |CMD: ka
00:03:06.989|Info    |PLMASTER|192.168.70.253      |RSP: 40
00:03:16.991|Info    |PLMASTER|192.168.70.253      |CMD: ka
00:03:17.023|Info    |PLMASTER|192.168.70.253      |RSP: 40
00:03:27.023|Info    |PLMASTER|192.168.70.253      |CMD: ka
00:03:27.039|Info    |PLMASTER|192.168.70.253      |RSP: 40
00:03:37.041|Info    |PLMASTER|192.168.70.253      |CMD: ka
00:03:37.056|Info    |PLMASTER|192.168.70.253      |RSP: 40
00:03:46.768|Warning |PLWKAREA|172@R               |Job #37 timeout
00:03:46.768|Info    |PLMASTER|192.168.70.253      |CMD: nr201209
00:03:47.174|Info    |PLMASTER|192.168.70.253      |RSP: 100001
